|                MJD |     mag |   dmag | filt |      source | nondet |
|  57827.04069999978 | 13.3442 | 0.0117 |    U | Las Cumbres |  False |
|  57827.04469999997 | 13.3359 | 0.0157 |    U | Las Cumbres |  False |
|  57827.04879999999 | 13.4497 | 0.0053 |    B | Las Cumbres |  False |
|  57827.05029999977 | 13.4479 | 0.0052 |    B | Las Cumbres |  False |
|  57827.05200000014 | 13.3549 | 0.0062 |    V | Las Cumbres |  False |
| 57827.053199999966 | 13.3732 |  0.008 |    V | Las Cumbres |  False |
| 57827.054599999916 |  13.267 | 0.0052 |    g | Las Cumbres |  False |
|  57827.05610000016 | 13.2694 | 0.0062 |    g | Las Cumbres |  False |
|  57827.05780000007 | 13.3347 | 0.0075 |    r | Las Cumbres |  False |
|  57827.05890000006 | 13.3275 | 0.0066 |    r | Las Cumbres |  False |
|  57827.06030000001 | 13.5578 | 0.0131 |    i | Las Cumbres |  False |
| 57827.061400000006 | 13.5434 | 0.0113 |    i | Las Cumbres |  False |
|  57827.13109999988 | 13.3218 | 0.0094 |    U | Las Cumbres |  False |
|  57827.13499999978 | 13.3132 | 0.0094 |    U | Las Cumbres |  False |
|   57827.1390999998 | 13.4467 |  0.004 |    B | Las Cumbres |  False |
|  57827.14060000004 | 13.4388 | 0.0048 |    B | Las Cumbres |  False |
|  57827.14229999995 | 13.3359 | 0.0058 |    V | Las Cumbres |  False |
|  57827.14339999994 | 13.3332 |  0.005 |    V | Las Cumbres |  False |
|  57827.14479999989 | 13.2488 | 0.0065 |    g | Las Cumbres |  False |
|  57827.14630000014 | 13.2473 | 0.0047 |    g | Las Cumbres |  False |
| 57827.147900000215 | 13.3428 | 0.0079 |    r | Las Cumbres |  False |
|  57827.14910000004 | 13.3396 | 0.0053 |    r | Las Cumbres |  False |
|  57827.15040000016 |  13.534 | 0.0057 |    i | Las Cumbres |  False |
|  57827.15150000015 | 13.5419 | 0.0074 |    i | Las Cumbres |  False |
|   57828.1231999998 | 12.9794 | 0.0093 |    U | Las Cumbres |  False |
|  57828.12719999999 |  12.978 | 0.0089 |    U | Las Cumbres |  False |
|  57828.13130000001 | 13.1115 | 0.0034 |    B | Las Cumbres |  False |
|  57828.13279999979 | 13.1139 |  0.004 |    B | Las Cumbres |  False |
|  57828.13450000016 | 13.0486 | 0.0042 |    V | Las Cumbres |  False |
| 57828.135699999984 | 13.0462 | 0.0042 |    V | Las Cumbres |  False |
| 57828.137000000104 | 12.9391 | 0.0041 |    g | Las Cumbres |  False |
|  57828.13860000018 | 12.9407 | 0.0042 |    g | Las Cumbres |  False |
|  57828.14019999979 | 13.0469 | 0.0053 |    r | Las Cumbres |  False |
|  57828.14140000008 | 13.0456 | 0.0053 |    r | Las Cumbres |  False |
|   57828.1427000002 | 13.2545 | 0.0066 |    i | Las Cumbres |  False |
| 57828.143900000025 | 13.2563 | 0.0057 |    i | Las Cumbres |  False |
|  57829.32060000021 | 12.5707 | 0.0112 |    U | Las Cumbres |  False |
| 57829.324500000104 | 12.5661 | 0.0111 |    U | Las Cumbres |  False |
| 57829.328600000124 | 12.8239 | 0.0092 |    B | Las Cumbres |  False |
| 57829.330099999905 |  12.816 | 0.0083 |    B | Las Cumbres |  False |
|  57829.33169999998 | 12.7712 | 0.0105 |    V | Las Cumbres |  False |
| 57829.332899999805 | 12.7712 | 0.0105 |    V | Las Cumbres |  False |
|  57829.33430000022 | 12.6808 | 0.0117 |    g | Las Cumbres |  False |
|         57829.3358 | 12.6717 | 0.0107 |    g | Las Cumbres |  False |
|  57829.33740000008 | 12.7863 | 0.0099 |    r | Las Cumbres |  False |
|   57829.3385999999 |  12.778 | 0.0119 |    r | Las Cumbres |  False |
|  57829.33990000002 | 12.9889 |  0.013 |    i | Las Cumbres |  False |
| 57829.341099999845 | 12.9812 | 0.0139 |    i | Las Cumbres |  False |
|  57831.13180000009 | 12.0626 | 0.0087 |    U | Las Cumbres |  False |
| 57831.135699999984 | 12.0605 | 0.0088 |    U | Las Cumbres |  False |
| 57831.139800000004 | 12.4147 | 0.0033 |    B | Las Cumbres |  False |
| 57831.141299999785 | 12.4121 | 0.0033 |    B | Las Cumbres |  False |
|  57831.14300000016 |   12.38 | 0.0041 |    V | Las Cumbres |  False |
|  57831.14410000015 |  12.376 | 0.0041 |    V | Las Cumbres |  False |
